"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/04/1999","AQS","490110001","1","14.8","ug/m3 LC","62","UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER","1","100.0000","88101","PM2.5 - Local Conditions","117","R & P Model 2000 PM2.5 Sampler w/WINS","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.886389","-111.882222"
"01/06/1999","AQS","490110001","1","9","ug/m3 LC","50","UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER","1","100.0000","88101","PM2.5 - Local Conditions","117","R & P Model 2000 PM2.5 Sampler w/WINS","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.886389","-111.882222"
"01/09/1999","AQS","490110001","1","1.2","ug/m3 LC","7","UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER","1","100.0000","88101","PM2.5 - Local Conditions","117","R & P Model 2000 PM2.5 Sampler w/WINS","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.886389","-111.882222"
"01/12/1999","AQS","490110001","1","12.3","ug/m3 LC","57","UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER","1","100.0000","88101","PM2.5 - Local Conditions","117","R & P Model 2000 PM2.5 Sampler w/WINS","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.886389","-111.882222"
"01/15/1999","AQS","490110001","1","7.8","ug/m3 LC","43","UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER","1","100.0000","88101","PM2.5 - Local Conditions","117","R & P Model 2000 PM2.5 Sampler w/WINS","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.886389","-111.882222"
"01/18/1999","AQS","490110001","1","6.7","ug/m3 LC","37","UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER","1","100.0000","88101","PM2.5 - Local Conditions","117","R & P Model 2000 PM2.5 Sampler w/WINS","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.886389","-111.882222"
"01/21/1999","AQS","490110001","1","2.9","ug/m3 LC","16","UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER","1","100.0000","88101","PM2.5 - Local Conditions","117","R & P Model 2000 PM2.5 Sampler w/WINS","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.886389","-111.882222"
"01/24/1999","AQS","490110001","1","20.1","ug/m3 LC","71","UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER","1","100.0000","88101","PM2.5 - Local Conditions","117","R & P Model 2000 PM2.5 Sampler w/WINS","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.886389","-111.882222"
"01/27/1999","AQS","490110001","1","9.4","ug/m3 LC","52","UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER","1","100.0000","88101","PM2.5 - Local Conditions","117","R & P Model 2000 PM2.5 Sampler w/WINS","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.886389","-111.882222"
"01/30/1999","AQS","490110001","1","46.9","ug/m3 LC","129","UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER","1","100.0000","88101","PM2.5 - Local Conditions","117","R & P Model 2000 PM2.5 Sampler w/WINS","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.886389","-111.882222"
