"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"07/04/2023","AQS","490030005","1","5.3","ug/m3 LC","29","Brigham City #3","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.485007","-112.021476"
"07/05/2023","AQS","490030005","1","7.1","ug/m3 LC","39","Brigham City #3","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.485007","-112.021476"
"07/06/2023","AQS","490030005","1","7.4","ug/m3 LC","41","Brigham City #3","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.485007","-112.021476"
"07/07/2023","AQS","490030005","1","6.3","ug/m3 LC","35","Brigham City #3","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.485007","-112.021476"
"07/08/2023","AQS","490030005","1","5.1","ug/m3 LC","28","Brigham City #3","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.485007","-112.021476"
"07/09/2023","AQS","490030005","1","5.4","ug/m3 LC","30","Brigham City #3","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.485007","-112.021476"
"07/10/2023","AQS","490030005","1","6.4","ug/m3 LC","36","Brigham City #3","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.485007","-112.021476"
"07/11/2023","AQS","490030005","1","6.9","ug/m3 LC","38","Brigham City #3","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.485007","-112.021476"
"07/12/2023","AQS","490030005","1","6.8","ug/m3 LC","38","Brigham City #3","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.485007","-112.021476"
"07/13/2023","AQS","490030005","1","6.9","ug/m3 LC","38","Brigham City #3","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.485007","-112.021476"
"07/14/2023","AQS","490030005","1","6.8","ug/m3 LC","38","Brigham City #3","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.485007","-112.021476"
"07/15/2023","AQS","490030005","1","4.3","ug/m3 LC","24","Brigham City #3","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.485007","-112.021476"
"07/16/2023","AQS","490030005","1","5.5","ug/m3 LC","31","Brigham City #3","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.485007","-112.021476"
"07/17/2023","AQS","490030005","1","9.4","ug/m3 LC","52","Brigham City #3","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.485007","-112.021476"
