"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2021","AQS","490050007","1","20.5","ug/m3 LC","72","Smithfield","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"01/02/2021","AQS","490050007","1","14.6","ug/m3 LC","61","Smithfield","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"01/03/2021","AQS","490050007","1","15.5","ug/m3 LC","63","Smithfield","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"01/04/2021","AQS","490050007","1","11.6","ug/m3 LC","56","Smithfield","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"01/05/2021","AQS","490050007","1","3.3","ug/m3 LC","18","Smithfield","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"01/06/2021","AQS","490050007","1","7.5","ug/m3 LC","42","Smithfield","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"01/07/2021","AQS","490050007","1","20.9","ug/m3 LC","73","Smithfield","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"01/08/2021","AQS","490050007","1","27.9","ug/m3 LC","86","Smithfield","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"01/09/2021","AQS","490050007","1","21.8","ug/m3 LC","75","Smithfield","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
"01/10/2021","AQS","490050007","1","12.2","ug/m3 LC","57","Smithfield","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","30860","Logan, UT-ID","49","Utah","005","Cache","41.842649","-111.852199"
